"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2007","Italy","40 years","Age reached during the year","Number","Total","1,146",""
"2007","Italy","40 years","Age reached during the year","Number","Males","671",""
"2007","Italy","40 years","Age reached during the year","Number","Females","475",""
"2007","Italy","41 years","Age reached during the year","Number","Total","940",""
"2007","Italy","41 years","Age reached during the year","Number","Males","554",""
"2007","Italy","41 years","Age reached during the year","Number","Females","386",""
"2007","Italy","42 years","Age reached during the year","Number","Total","907",""
"2007","Italy","42 years","Age reached during the year","Number","Males","549",""
"2007","Italy","42 years","Age reached during the year","Number","Females","358",""
"2007","Italy","43 years","Age reached during the year","Number","Total","875",""
"2007","Italy","43 years","Age reached during the year","Number","Males","530",""
"2007","Italy","43 years","Age reached during the year","Number","Females","345",""
"2007","Italy","44 years","Age reached during the year","Number","Total","744",""
"2007","Italy","44 years","Age reached during the year","Number","Males","428",""
"2007","Italy","44 years","Age reached during the year","Number","Females","316",""
"2007","Italy","45 years","Age reached during the year","Number","Total","723",""
"2007","Italy","45 years","Age reached during the year","Number","Males","413",""
"2007","Italy","45 years","Age reached during the year","Number","Females","310",""
"2007","Italy","46 years","Age reached during the year","Number","Total","641",""
